depth,trail,max_page_rank,nr_conn_comp,edges,nodes,efficiency,smetric
45,8,0.004947540354755876,1,471,357,0.10870596061585709,4492.0
5,9,0.030489049532258942,5,68,69,0.1262756342359922,452.0
10,9,0.017806043991024288,3,118,105,0.1067669684977005,932.0
15,9,0.012757719950928288,1,169,141,0.14141623782678106,1468.0
20,9,0.010607791906680604,1,219,177,0.14068260632598917,1928.0
25,9,0.008177179619219977,1,268,212,0.1277804185542017,2440.0
30,9,0.007379595710435625,1,320,249,0.12385477444958452,2970.0
35,9,0.0063002625683077065,1,370,285,0.1280283708674117,3438.0
40,9,0.005643323182992327,1,421,321,0.1149951916811611,3958.0
45,9,0.0047176803373382035,1,471,357,0.11026371958161235,4432.0
